participant,P0_Q0,P0_Q1,age,sex,korean_question,strategy,attention,comments
1,NA,NA,20,男,从未学习过,是，一直默念。,否,第一次汉语的测试跟演示说明一样，应该换下文字或者显示顺序
3,NA,NA,19,女,从未学习过,记录,否,
5,NA,NA,19,女,从未学习过,是否对称,否,太难了
8,NA,NA,20,女,从未学习过,给字符命名,否,无
9,NA,NA,27,男,从未学习过,偏胖左中右、上中下以及图形的形状联合记忆,否,
10,NA,NA,25,男,从未学习过,将韩文字符找一个相似的汉字来近似代替，然后按顺时针背诵,否,可以换几组韩文
15,NA,NA,25,男,从未学习过,无,否,无
14,NA,NA, 21,女,接触过个别词语,,否,
16,NA,NA,21,女,从未学习过,是，将韩文字符看做是形状相近的中文字符，熟悉之后能记住韩文字符的大致形状,否,无
11,NA,NA,21,女,从未学习过,否,否,
13,NA,NA,22,女,从未学习过,抓特点，转换为中文,否,好难太难了根本记不住，中文都不一定记得住，更别提韩文
12,NA,NA,22,女,从未学习过,用中文和数字记忆,否,无
23,NA,NA,18,男,从未学习过,把它转化为相近的中文,否,可以标一下韩语的读法
7,NA,NA,22,男,从未学习过,"1. 把韩文字识别为某个象形的中文字，熟悉符号的区别
2. 主要记忆最后update的三个字，前面选择性记忆（比如只记前三个",否,无
21,NA,NA,24,男,从未学习过,根据韩文的形状来为各个韩文起别名，容易记住，比如单人加竖线的被记为扶墙而立等，然后重点记住更换位置的形状，剩下的根据记忆和感觉来选择,否,无
25,NA,NA,27,女,从未学习过,优先记忆最后出现的三个，之前的6个看运气,否,无，挺好的
22,NA,NA,25,女,从未学习过,没有,否,没有
18,NA,NA,19,男,从未学习过,是，通过与中文相似的字代替来记忆,否,可以增加休息时间
19,NA,NA,22,女,从未学习过,自己给每一个韩文字起一个代号（如：它像哪个汉字就用哪个汉字的读音代替它），它们出现的时候按顺序默读,否,无
33,NA,NA,26,男,从未学习过,优先记住后面出现的3个,否,时间较长，实验者容易疲劳
28,NA,NA,22,女,从未学习过,用形状记忆,否,无
37,NA,NA,27,男,接触过个别词语,比较凌乱,否,无
29,NA,NA,25,男,从未学习过,先整体记忆，然后记住最新的，前面忘记的就忽略掉,否,无
32,NA,NA,21,女,从未学习过,有尝试只记住最后变化的三个字，但是作用不大，受到答题时会受到出题顺序的影响而忘记,否,无
40,NA,NA,22,女,从未学习过,有给每个字符想个名字，连起来靠谐音记忆,否,无
54,NA,NA,27,女,从未学习过,否,否,
27,NA,NA,22,女,从未学习过,是，我会只看韩文的下半部分并对应成汉字，默念口诀记忆。,否,无
53,NA,NA,19,女,从未学习过,根据形状自己取名,否,无
55,NA,NA,21,女,从未学习过,是，尝试根据外形特征给每种形状的字赋予一字代号,否,暂无
48,NA,NA,23,男,从未学习过,记每个字里面的特殊图形,否,有点难
44,NA,NA,24,男,从未学习过,记住个别明显的,否,无
52,NA,NA,22,男,从未学习过,尽可能地去记出现的字的特征,否,没什么建议
49,NA,NA,19,女,从未学习过,是的，按照中文的一些形似偏旁帮助记忆。,否,无
34,NA,NA,28,男,从未学习过,根据韩文的长相，把韩文转换成相应的汉字，比如长得像靠着的就读“靠”，来帮助记忆。,否,无
51,NA,NA,23,男,接触过个别词语,记录字符特征,否,无
26,NA,NA,30,男,从未学习过,最多记三个位置,否,无
38,NA,NA,22,男,从未学习过,将韩文看成汉字或数字等熟悉的形象来代替,否,每一轮是否可以采用不同的韩文来测试
46,NA,NA,28,男,从未学习过,无 强行记住 能记住多少算多少,否,有点难  特别是对我们这种没学过韩文的
47,NA,NA,24,女,从未学习过,象形法,否,
41,NA,NA,23,女,从未学习过,是的，采取相似的汉字记忆,否,无
50,NA,NA,22,女,从未学习过,,否,太难记了
31,NA,NA,23,男,从未学习过,首先是只记容易记忆的文字，像汉字的或者结构简单的。然后记这些文字的结构是左右结构还是上下结构。有几个像小人，就根据小人的位置来记忆。,否,难度有点大
43,NA,NA,20,女,从未学习过,"是
如将韩文字符用一些类似的中文字符代替",否,无
57,NA,NA,20,男,从未学习过,记住其中的某一个我认识的可以类比成中文的部分,否,无
58,NA,NA,27,男,从未学习过,有,否,无
56,NA,NA,22,女,从未学习过,上面三个一组 下面三个一组,否,太难了
60,NA,NA,22,男,从未学习过,象形记忆，把韩文想象成生活中的物品,否,无
62,NA,NA,25,男,从未学习过,尽量记住最后3个,否,无
59,NA,NA,23,女,从未学习过,类比图形；字形的区别,否,无
